text,label
@USER @USER @USER Now what are you ?? A Liberal ?? Intellectual ?? You are nothing but a Bigot. Shamelessness at its peak.,TIN
@USER @USER Obama done nothing fix the problem while in office?  Now going about telling stories. Trump have being able to restore hope on gun control,TIN
@USER We are so glad we don’t know anyone like those miscreant. Pitiful bunch.,TIN
@USER More misleading nonsense. It’s like you are incapable of straight News. Fake through and through.,TIN
@USER @USER @USER What a joke! She is a Gem alright!! She is a Racist phony! Right along with this Racist Phony. That thinks she will follow me from her second account. And block me. Because I speak the truth. I could care less about follower's. Like it's a big party. I care that they discriminate URL,TIN
@USER @USER @USER Sanchez sucks. He is killing this Team IMO.,TIN
@USER Northern Ireland was explicitly designed so the British establishment could stop paying attention to Ireland. They’ve been indifferent since 1921.,TIN
@USER @USER You can’t accuse someone of something like this &amp; expect to not have to come forward &amp; testify about it! We’re we just suppose to believe it &amp; crucify him?  I am sure u liberals think so.,TIN
"@USER Yes they are stupid, everyone knows that he is a bachelor""""",TIN
@USER Hopefully they don’t get shot because of Repug inaction on gun control.,TIN
@USER For what??? Lies and rumors being spread by liberals with their known pattern? Hell NO.,TIN
@USER fool,TIN
@USER U nasty bitch,TIN
@USER He is too bitchy...  And you?! I ask a question and you dont respond    Why would this be 1 way street?,TIN
@USER Calling it something different still a PAC.  You are for  NO BORDERS= NO COUNTRY  HIGHER TAXES Gun control SOCIALIST REMOVING ICE YOU WORK FOR ILLEGALS FOR BRAC NO FAMILY TEXAS VALUES WE ARENT CALIFORNIA LIKE JONES U PPL DONT EVEN LIVE HERE. Stay in DC,UNT
"@USER Ya  Obama on trade  2-YEARS AGO:  Trump is just NOT TELLING THE TRUTH""  ""How STUPID could our leaders be"" Trump  God bless Trump! #MAGA #KAG .. (Full Link+Trump's ANSWER URL",TIN
All of this shows just how scared Liberals are of the New @USER that is going to be guided by the Constitution &amp; Bill of Rights. They honestly believed they had made them powerless in today's courts. @USER Trump is #MAGA &amp; Deplorables are helping. URL,TIN
@USER I swear. I’m so glad my fat ass never drunk that shit. I’m tryna be slim but not crackhead slim🙇🏾‍♀️,UNT
@USER Crazy freaking liberals,TIN
@USER @USER @USER @USER Kamala Harris is rapidly gaining a reputation as the most dishonest senator,TIN
@USER #Liberals are muck rakers. They have NO platform to run on. NONE! Culling vulnerable people from the late decades... of the last century... of the previous millennium... shows how desperate they are to be heard. Now they’re loitering around high schools looking for rumors. Sad!,TIN
@USER Damn he fell victim to a little thing called TOS much like the ones on his own site URL URL,UNT
@USER The guy is not even a white Romanian he is a gypsy!,TIN
@USER @USER Because he is a traitor,TIN
@USER who’s the loser bitch!  lol you! fuck you #MAGA URL,TIN
@USER @USER when robyn posts a selfie the world stops for a moment to appreciate it,TIN
@USER @USER Zero evidence lmaooooooo I love seeing liberals squirm at shit like this 😂😂😂,TIN
@USER You still have not addressed your solution to make schools safer....you just preach more gun control...what are your solutions???,TIN
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Stop with your nonsense. You are a block. You are STUPID!,TIN
@USER @USER @USER @USER @USER Amazing how they can consistently manage to piss off both progressives and conservatives by being so arrogantly misguided--often in same segments.,TIN
@USER Robyn I was gonna make vegan scones but I ran out of fucking time.  Blame my biochem lab,TIN
@USER @USER @USER I’m really not on any side of this mess but all day people were siding with Cardi talking bout Nicki and do shit. Jsjdhkdfhjfkfkhsjdhd MESSSSSSS!!,TIN
#Theresa May Using #LabourParty Policies to Cling On To her Weak and Wobbly #Government #HousingCrisis #housingmarket the #conservatives are the Corrupt #Landowners #ToriesOut #Corruption,TIN
@USER @USER Tbere aren't hardly any Conservatives left in California. Perhaps the threats are just unintelligible robo calls by Antifa comrades jacked up on Starbucks and Lucky Charms.,TIN
@USER Flat out clown....bottom  Line is that you're out and America is back!!  you were a sellout to the country ...look in the mirror who's the 8 year old..,TIN
@USER Another elitist who is out of touch with the patriotic Americans!,UNT
"@USER And republicans fall right in line and say these are serious accusations we must postpone the vote until we hear from her"".  Many republicans are not interested in being conservatives.""",UNT
#RSSReachesOut  This one step by the RSS can show the sense of nationalism it has when other UrbanNaxals are colluding with each other only to tear India apart. @USER @USER @USER @USER are working so hard for the downfall of India. Shame on liberals,TIN
@USER get your shit together,TIN
@USER @USER @USER @USER @USER Please TX don’t elect this fake Conservative. He is bought &amp; paid for with Soros money. So many unethical things in his personal history!,TIN
@USER YESSSSSHHHHH who else call you shitgull if it were not me or ryme 😚,TIN
@USER @USER Sareena was wrong to behave like this. That is not racist just truth. I do not want my children watching this behavior.,TIN
@USER The persona that you project masks your insecurities. You are hurt and disappointed. Politics is a dirty business. Move on and make a difference.  Hillary lost because too many people sat out the last election. Get involved in displacing Devin Nunes and or Duncan Hunter in Calif.,TIN
@USER @USER @USER @USER empty your mind and god shall speak. To you? Through you? If you are wise increase in abundance. But surely I'm a fool who has not seen the most powerful who has ascended? Or descended? How times are rare but his messages are absolute.,TIN
@USER @USER I'm not in uncomefortbul miss Williams is a great actor or she thinks she is miss Williams is out of order in what she said to the ref rules apply even to miss Williams but your turning it in to o as a women don't this bone that miss Williams is out of order that's a stone wall,TIN
@USER @USER @USER @USER @USER Most people do not understand what an assault rifle is!  Makes their statements regarding gun control stupid!,UNT
"@USER What is my fucking problem? Really?""  —Jason denys a couple of times. He does not want to behave like an idiot / not again / but he's worried about her.  ""Where is Dick or Bruce? Are not they with you in this?""""",UNT
@USER Are you an ostrich?,TIN
@USER ball is in our court not yours,TIN
@USER you're on fucking drugs my dude,UNT
"@USER You know what will make this professor even woker""? If he's a gun control nut....""",TIN
@USER He should be given 5000 volts!,TIN
@USER @USER @USER @USER @USER Sorry to break it to you but the god of the bible is actually just a lesser god from the ancient Sumerian and Babylonian religions. The bible itself isn't unique in it's claims nor is it unique in it's inability to substantiate said claims. Try again.,TIN
@USER @USER At least you got to experience the 90s though. These 90s and 2000s born missed out on a great decade. It's been an increasingly worse shit show since lol,UNT
@USER Maybe she should drop the angry b$*@USER routine and try something funny everyone can enjoy....like non political jokes.  Don’t think she is capable of doing that.,TIN
@USER @USER @USER No you wouldn't sis I know damn well you would probably call it cute people propose in concerts all the time yet when its a gay couple its wrong you're at a fucking concert you don't have to pay attention,TIN
@USER Hubby rushed me *shakes fist* will flick a pic thru this evening when I feed em again. By the way he is still the boss,TIN
@USER this girl called herself tryna call me ugly. i had to show her how ugly she is.,TIN
@USER this is fucking hilarious,UNT
@USER No and they’re expensive ass hell,UNT
@USER @USER @USER @USER do you like/love Louis Farrakhan because he is a racist or an anti Semite? Which one?,TIN
@USER It’s a disgrace and @USER are in danger of imploding if they don’t remove @USER,TIN
@USER I think Becka belongs in that room with the trash making comments like that. I don't hear you denouncing ANTIFA...who ironically models their flag after the nazis.,TIN
@USER bitch what do you mean? Get It by Pristin? no?,TIN
@USER The liberals sure are walking a VERY dangerous line.,TIN
@USER Go out like Seinfeld and cancel the series while it's hot! Jk don't you fucking dare. This better have a 50 issue plan.,UNT
@USER This smells like another funding of George Soros. Follow the money 💴 trail.  That woman most likely never knew Judge Kavanaugh. liberals are running scared because The Judge has conservative Christians values. The man has an impeccable Portfolio. Finestine’s a dirty politician,TIN
@USER I can't wait for Kavanaugh to throw gun control in the garbage can where it belongs.,TIN
Ain’t getting no pussy huh? URL,UNT
Actually nvm DC animated films are the shit,TIN
@USER bitch call me.,TIN
@USER @USER she is getting death threats....can you go and be a shield for her so you don’t have to wait?,TIN
@USER @USER @USER @USER @USER No.   I mean parasite in the sense of private companies being an unnecessary  and universally-unwanted bauble imposed on an essential public service by people who put profits before public opinion and democracy.,TIN
#Manitoba - #NDP leader Wab Kinew on the #carbontax URL Are you proud of yourselves @USER and @USER You allow the NDP to come at you from the right? You're all as insane as the #Trudeau #Liberals #Winnipeg #Canada #MBpoli,TIN
@USER Hope you blisters,TIN
@USER @USER @USER @USER Oh boo you sound so ignorant with your words. We are on Top. All of America is on Top now. How about stop resisting and try to help make our nation the best for everyone not just liberals. Wake up and Walk Away.,TIN
@USER Bono is a fakir. Always sticking his hand out for someone else’s buck. May it be his concerts. Tax evasion. Lecturing america on Africa. Never has he put his own money up.,TIN
@USER by which point the fuckingclass was nearly over... lol!,TIN
@USER Why are you telling them to not do this? I encourage Antifa shits to try this and get dropped. Less of them the better.,TIN
@USER He hit the lotto,TIN
@USER @USER Pope Char compares Pope Francis to the false prophet. Bingo! URL,TIN
@USER I AM SO WEAK SHE REALLY BEAT HER ASS,TIN
@USER I eat some weird shit but this crossed the line,UNT
@USER Very simple....More gun control ads equals more guns sold. The gun illiterates aren’t smart enough to figure this out,UNT
@USER A resounding NO! 🇺🇸 #MAGA,TIN
@USER @USER Liberals don’t realize that thousands of unaccompanied minors were thrown across the border..... who is supposed to take care of them? Angelina Jolie?,TIN
@USER Niggas wellin if they wanna live in a world with endless world wars and death and chaos. My Hero is literally anime X-men,TIN
@USER i feel like his face will never change. he is right in the middle of our mom and his dad.,TIN
@USER I have to be a smart ass some way 🤷🏻‍♂️😂,TIN
@USER @USER @USER @USER @USER @USER Lol you are being mean.,TIN
